sig3,sig2,sig1,cohesion,friction
13.79,55.16,196.4,12.36,38.63
0,55.16,241.09,32.54,45.89
25,58,240,23.98,35.42
0,59.3,286.57,32.54,45.89
30,60,83,7.08,20.13
2.3,60,117.4,27.69,31.36
4.1,60,131.2,27.69,31.36
8,60,132,27.61,31.81
6.6,60,150.2,27.69,31.36
15,60,163.11,27.61,31.81
15,60,165,18.05,36.01
10,60,174.21,36.74,20.96
20,60,175,36.14,24.1
20,60,177,18.05,36.01
20,60,182.32,27.61,31.81
20,60,183.17,19.55,38.09
10,60,193,7.1,35.2
20,60,197,6.9,41.62
30,60,198.9,24.09,28.69
20,60,201,7.1,35.2
20,60,223.57,19.55,38.09
30,60,224,7.1,35.2
20,60,252.4,48.46,31.23
20,60,262,47.55,25.5
20,60,292,39.48,34.75
0,60,303.902,47.82,50.98
5,60,317,59.68,48.91
5,60,339.25,24.42,64.59
20,60,346,28.38,45.8
20,60,356,39.07,41.42
10,60,359,59.68,48.91
2,60,360.399,47.82,50.98
20,60,380.96,41.04,48.36
20,60,428,72.54,36.78
10,60,433.18,24.42,64.59
20,60,470,38.18,50.28
20,60,475,85.29,34.85
30,60,479,46.69,45.94
20,60,550.505,47.82,50.98
20,60,551,59.68,48.91
20,60,558.228,47.82,50.98
20,60,604.432,47.82,50.98
24.13,60.33,373.9,32.54,45.89
0,61.5,272.6,32.54,45.89
20.68,62.05,208.7,12.36,38.63
25,62.5,283.689,25.39,38.51
25,62.5,288.115,25.39,38.51
25,62.5,291.557,25.39,38.51
20,63,178.8,24.09,28.69
3,64.9,64.9,6.66,41.89
5,65,85,6.66,41.89
7,65,109.5,6.66,41.89
25,65,188.22,31.1,26.35
25,65,475,80.5,34.85
12.5,67,213,23.98,35.42
20,67,470,67.97,41.89
3.45,68.95,192.7,12.36,38.63
27.58,68.95,419.1,32.54,45.89
0,70,107,27.45,40.38
8,70,126.07,27.61,31.81
10,70,136,18.05,36.01
15,70,147,34.79,21.32
10,70,172,7.1,35.2
20,70,175,36.14,24.1
20,70,175,7.1,35.2
20,70,192.28,27.61,31.81
15,70,193.82,36.74,20.96
20,70,197,18.05,36.01
10,70,197,47.55,25.5
30,70,224,18.05,36.01
30,70,226.716,27.61,31.81
20,70,228.96,19.55,38.09
30,70,236,7.1,35.2
40,70,240,36.14,24.1
40,70,252,18.05,36.01
40,70,254.54,27.61,31.81
50,70,256.731,31.1,26.35
40,70,273,7.1,35.2
0,73.55,286.02,32.54,45.89
20,74,643,73.38,47.52
0,74.7,139.3,49.09,32.74
20,74.8,260.9,49.09,32.74
5,75,112.68,36.74,20.96
10,75,153.1,24.09,28.69
15,75,162,18.05,36.01
10,75,166.4,24.8,30.49
25,75,201.92,31.1,26.35
20,75,212.2,24.8,30.49
40,75,577,67.97,41.89
0,76.8,76.8,48.46,31.23
25,78,252,23.98,35.42
5,79.6,79.6,6.66,41.89
0,79.95,333.68,32.54,45.89
15,80,162.51,27.61,31.81
10,80,174.29,36.74,20.96
20,80,186,36.14,24.1
20,80,191.66,27.61,31.81
15,80,191.71,36.74,20.96
20,80,194,18.05,36.01
25,80,195.43,31.1,26.35
30,80,195.7,34.79,21.32
30,80,214,7.1,35.2
20,80,215,6.9,41.62
20,80,242.42,19.55,38.09
20,80,251,47.55,25.5
40,80,251.26,27.61,31.81
40,80,253,18.05,36.01
40,80,258,36.14,24.1
40,80,272,47.55,25.5
40,80,278,6.9,41.62
40,80,289,7.1,35.2
50,80,291,27.61,31.81
40,80,297.64,19.55,38.09
20,80,301,39.48,34.75
50,80,306,7.1,35.2
40,80,310,29.75,35.69
5,80,320,59.68,48.91
40,80,327,66.6,23.59
45,80,352,29.75,35.69
10,80,353,59.68,48.91
2,80,355.529,47.82,50.98
40,80,375,39.48,34.75
40,80,379,28.38,45.8
20,80,379,39.07,41.42
20,80,393.35,41.04,48.36
50,80,397,29.75,35.69
20,80,446,72.54,36.78
40,80,486,83.55,33.38
40,80,486,72.54,36.78
20,80,492,38.18,50.28
20,80,532.774,47.82,50.98
20,80,554,59.68,48.91
40,80,570,85.29,34.85
40,80,577,38.18,50.28
40,80,698,56.4,49.11
40,80,700,59.68,48.91
38,80,733.105,47.82,50.98
20.68,82.73,260.2,12.36,38.63
3.45,82.74,143.3,12.36,38.63
6.89,82.74,188.1,12.36,38.63
13.79,82.74,254.4,12.36,38.63
27.58,82.74,274.8,12.36,38.63
8,84.5,84.5,34.79,21.32
10,85,130,18.05,36.01
15,85,167.83,27.61,31.81
25,85,199.04,31.1,26.35
40,88,288,23.98,35.42
40,88,309,23.98,35.42
40,88,743,73.38,47.52
15,90,159,18.05,36.01
20,90,193,18.05,36.01
20,90,200,36.14,24.1
12.5,90,225,23.98,35.42
30,90,232,18.05,36.01
30,90,232.077,27.61,31.81
20,90,242.42,19.55,38.09
40,90,245,7.1,35.2
20,90,247.3,48.46,31.23
40,90,250,18.05,36.01
40,90,261,36.14,24.1
50,90,261.058,31.1,26.35
50,90,263.88,27.61,31.81
50,90,289.56,19.55,38.09
60,90,306,36.14,24.1
50,90,309,7.1,35.2
45,90,341,57.13,25.84
50,90,360.7,48.46,31.23
50,90,595.09,41.04,48.36
60,90,750,46.69,45.94
60,90,810.336,47.82,50.98
20,92,413,83.55,33.38
15,94.06,167.2,27.61,31.81
25,95,203.37,31.1,26.35
25,95,495,80.5,34.85
45,95,570,80.5,34.85
20,99.8,285.8,49.09,32.74
60,99.9,405.7,49.09,32.74
20,99.93,182.45,27.61,31.81
20,100,194,36.14,24.1
25,100,195.43,31.1,26.35
20,100,204.71,19.55,38.09
30,100,232.4,24.09,28.69
30,100,243.9,24.8,30.49
40,100,246.69,27.61,31.81
40,100,252,18.05,36.01
40,100,253.98,27.61,31.81
20,100,258.8,48.46,31.23
50,100,268.269,31.1,26.35
40,100,270.53,27.61,31.81
50,100,282.83,19.55,38.09
40,100,286,6.9,41.62
40,100,288,36.14,24.1
50,100,291,7.1,35.2
50,100,298.4,24.09,28.69
50,100,304,24.8,30.49
50,100,313.81,19.55,38.09
40,100,320.54,19.55,38.09
30,100,323,27.45,40.38
20,100,338,28.38,45.8
40,100,341,66.6,23.59
60,100,341,36.14,24.1
60,100,371,66.6,23.59
60,100,376,47.55,25.5
30,100,400,56.5,35.3
60,100,404,6.9,41.62
50,100,404,27.45,40.38
40,100,414,39.48,34.75
40,100,434,39.07,41.42
60,100,436,39.48,34.75
50,100,447.4,56.5,35.3
20,100,458.06,41.04,48.36
60,100,475,39.07,41.42
20,100,495,85.29,34.85
40,100,499,72.54,36.78
60,100,528,72.54,36.78
60,100,550,28.38,45.8
20,100,560,59.68,48.91
20,100,574.126,47.82,50.98
30,100,599,46.69,45.94
60,100,638,85.29,34.85
30,100,649.4,50,52
50,100,651.11,41.04,48.36
38,100,723.148,47.82,50.98
40,100,733,59.68,48.91
60,100,735,38.18,50.28
60,100,766,46.69,45.94
60,100,821,59.68,48.91
40,101,673,56.4,49.11
70,101,735,67.97,41.89
60,102,537,83.55,33.38
40,102,775,56.4,49.11
55,107,369,23.98,35.42
75,108,405,57.13,25.84
80,108,810,56.4,49.11
20,110,244.6,48.46,31.23
50,110,256,27.61,31.81
50,110,259.615,31.1,26.35
40,110,267,36.14,24.1
40,110,274,18.05,36.01
60,110,354,36.14,24.1
80,110,397,36.14,24.1
20,110,446.81,41.04,48.36
60,110,820.912,47.82,50.98
55.16,110.31,349,12.36,38.63
40,112,319,23.98,35.42
40,112,632,67.97,41.89
40,113,499,83.55,33.38
60,113,530,83.55,33.38
20,115,569.172,47.82,50.98
65,117,638,80.5,34.85
80,117,836,56.4,49.11
20,120,234.34,19.55,38.09
50,120,261.058,31.1,26.35
40,120,263.31,27.61,31.81
40,120,265,18.05,36.01
60,120,294.8,34.79,21.32
60,120,335,36.14,24.1
40,120,350,66.6,23.59
80,120,362,36.14,24.1
60,120,386,66.6,23.59
80,120,391,47.55,25.5
60,120,410,6.9,41.62
80,120,412,66.6,23.59
80,120,452,48.46,31.23
60,120,469,39.48,34.75
20,120,478,41.04,48.36
80,120,481,6.9,41.62
20,120,532,59.68,48.91
60,120,535,72.54,36.78
80,120,561,39.07,41.42
80,120,572,72.54,36.78
50,120,619.91,41.04,48.36
40,120,632,38.18,50.28
80,120,659,28.38,45.8
80,120,684,85.29,34.85
40,120,720,59.68,48.91
60,120,835,59.68,48.91
80,120,962,59.68,48.91
40,121,739,56.4,49.11
50,125,368.3,48.46,31.23
80,126,572,83.55,33.38
85,128,684,80.5,34.85
20,130,251.9,48.46,31.23
50,130,267.98,27.61,31.81
50,130,286.298,31.1,26.35
60,133,386,57.13,25.84
80,135,854,56.4,49.11
100,138,1046,73.38,47.52
40,140,276.62,27.61,31.81
80,140,315.8,34.79,21.32
40,140,360,66.6,23.59
80,140,415,66.6,23.59
80,140,464,6.9,41.62
100,140,493,66.6,23.59
60,140,495,39.07,41.42
20,140,575,59.68,48.91
80,140,577,72.54,36.78
100,140,687,39.07,41.42
100,140,765,28.38,45.8
100,140,778,85.29,34.85
60,140,859,59.68,48.91
77,140,988.251,47.82,50.98
80,140,992,59.68,48.91
100,140,1012,59.68,48.91
40,143,747,56.4,49.11
75,147,415,57.13,25.84
80,147,893,56.4,49.11
100,148,1037,73.38,47.52
20,150,260.1,48.46,31.23
50,150,285.93,27.61,31.81
100,150,435.1,24.8,30.49
80,150,577,83.55,33.38
85,153,719,80.5,34.85
60,155,745,46.69,45.94
40,160,367,66.6,23.59
50,160,372.8,48.46,31.23
100,160,497,66.6,23.59
20,160,590,59.68,48.91
120,160,824,85.29,34.85
100,160,959,46.69,45.94
100,160,1067,59.68,48.91
100,165,1104.15,47.82,50.98
100,165,1147.83,47.82,50.98
105,167,778,80.5,34.85
100,170,401.4,24.09,28.69
100,171,493,57.13,25.84
20,180,249,48.46,31.23
120,180,328,34.79,21.32
40,180,359,66.6,23.59
80,182,889,56.4,49.11
80,183,930,56.4,49.11
125,187,824,80.5,34.85
150,195,1279,73.38,47.52
20,200,237.2,48.46,31.23
50,200,354.2,48.46,31.23
60,200,816,46.69,45.94
140,200,827,85.29,34.85
100,200,1001,46.69,45.94
150,200,1065,46.69,45.94
150,200,1112,46.69,45.94
200,200,1334,73.38,47.52
200,200,1388,73.38,47.52
50,205,377,48.46,31.23
140,205,1098,56.4,49.11
150,210,357.1,34.79,21.32
150,215,1316,73.38,47.52
80,216,906,56.4,49.11
200,216,1425,73.38,47.52
80,218,973,56.4,49.11
200,233,1441,73.38,47.52
200,235,1168,56.4,49.11
50,240,365,48.46,31.23
60,250,888,46.69,45.94
100,250,945,46.69,45.94
150,250,1176,46.69,45.94
150,250,1230,46.69,45.94
200,251,1244,56.4,49.11
100,270,892,46.69,45.94
50,275,352.2,48.46,31.23
200,281,1545,73.38,47.52
60,300,828,46.69,45.94
100,300,1048,46.69,45.94
150,300,1431,46.69,45.94
200,309,1523,73.38,47.52
60,350,887,46.69,45.94
100,350,1058,46.69,45.94
150,350,1326,46.69,45.94
150,400,1169,46.69,45.94
150,450,1284,46.69,45.94
